input_group,alternative,criterion,manager,value,value_low,value_high,direction,source_file,locator,note
manager_rating,SFT-1,QSS,Mang-3,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!L21,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,MSC,Mang-3,9,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!M21,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,CS,Mang-3,5,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!N21,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,RS,Mang-3,6,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!C22,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,IC,Mang-3,3,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!D22,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,SFR,Mang-3,4,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!E22,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,EU,Mang-3,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!F22,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,EIS,Mang-3,4,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!G22,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,SR,Mang-3,5,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!H22,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,PC,Mang-3,6,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!I22,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,F,Mang-3,4,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!J22,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,CMI,Mang-3,2,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!K22,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,QSS,Mang-3,5,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!L22,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,MSC,Mang-3,7,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!M22,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,CS,Mang-3,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!N22,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,RS,Mang-3,6,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!C23,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,IC,Mang-3,4,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!D23,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,SFR,Mang-3,4,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!E23,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,EU,Mang-3,6,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!F23,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,EIS,Mang-3,3,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!G23,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,SR,Mang-3,5,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!H23,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,PC,Mang-3,5,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!I23,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,F,Mang-3,5,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!J23,1–9 alternative performance rating; public raw supplement
